,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：a2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,2466,,-92,,
2,,永安期货,1014,,-359,,
3,,国富期货,1002,,-189,,
4,,华安期货,904,,16,,
5,,中信期货,785,,-53,,
6,,宏源期货,531,,-66,,
7,,鲁证期货,400,,-118,,
8,,华泰期货,373,,19,,
9,,中财期货,344,,-257,,
10,,徽商期货,343,,72,,
11,,宝城期货,327,,54,,
12,,国投安信,309,,0,,
13,,渤海期货,286,,165,,
14,,方正中期,271,,-156,,
15,,银河期货,258,,-280,,
16,,中原期货,251,,-179,,
17,,海通期货,247,,-226,,
18,,五矿经易,235,,-126,,
19,,国信期货,194,,-13,,
20,,中金期货,190,,-24,,
总计,,,,10730,,-1812,,

名次,,会员简称,持买单量,增减,,
1,,永安期货,7683,,213,,
2,,浙商期货,4287,,93,,
3,,东证期货,4162,,86,,
4,,海通期货,2226,,43,,
5,,国投安信,2116,,-40,,
6,,天风期货,1686,,-5,,
7,,大越期货,1629,,43,,
8,,华信期货,1073,,12,,
9,,冠通期货,1001,,-22,,
10,,中财期货,883,,21,,
11,,鲁证期货,883,,243,,
12,,中信建投,784,,-10,,
13,,南华期货,766,,-3,,
14,,五矿经易,705,,25,,
15,,华泰期货,701,,54,,
16,,宏源期货,626,,207,,
17,,银河期货,537,,47,,
18,,和合期货,522,,-2,,
19,,华安期货,517,,3,,
20,,北京首创,514,,78,,
总计,,,,33301,,1086,,

名次,,会员简称,持卖单量,增减,,
1,,东证期货,4760,,-22,,
2,,中国国际,4483,,6,,
3,,国投安信,3319,,35,,
4,,永安期货,2755,,123,,
5,,广州金控,2462,,62,,
6,,宏源期货,1632,,128,,
7,,大有期货,1262,,0,,
8,,华安期货,1261,,47,,
9,,华泰期货,1227,,121,,
10,,中信期货,1223,,48,,
11,,美尔雅期货,1155,,-1,,
12,,北京首创,1062,,2,,
13,,中粮期货,1060,,-6,,
14,,一德期货,993,,-83,,
15,,宝城期货,951,,-103,,
16,,上海大陆,849,,-27,,
17,,光大期货,811,,0,,
18,,中大期货,737,,-1,,
19,,兴证期货,696,,20,,
20,,五矿经易,674,,208,,
总计,,,,33372,,557,,



会员类别,总成交量,增减,,
期货公司会员,10730,,-1812,,

会员类别,总持买单量,增减,,
期货公司会员,33301,,1086,,

会员类别,总持卖单量,增减,,
期货公司会员,33372,,557,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：jd2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,6692,,-861,,
2,,海通期货,5519,,787,,
3,,方正中期,3671,,-2368,,
4,,徽商期货,2825,,-1661,,
5,,光大期货,2754,,243,,
6,,华安期货,2524,,-1337,,
7,,中信期货,2270,,-640,,
8,,国富期货,1660,,-51,,
9,,申银万国,1625,,-992,,
10,,宏源期货,1597,,-1137,,
11,,永安期货,1572,,-89,,
12,,金瑞期货,1543,,119,,
13,,华泰期货,1487,,-575,,
14,,南华期货,1447,,-277,,
15,,美尔雅期货,1371,,-95,,
16,,西部期货,1249,,473,,
17,,广发期货,1106,,-698,,
18,,东方财富,1093,,-473,,
19,,华信期货,1083,,-39,,
20,,弘业期货,1078,,120,,
总计,,,,44166,,-9551,,

名次,,会员简称,持买单量,增减,,
1,,永安期货,4714,,383,,
2,,广州金控,3998,,162,,
3,,广发期货,3101,,-26,,
4,,中信建投,1802,,48,,
5,,华泰期货,1765,,205,,
6,,中信期货,1632,,184,,
7,,国投安信,1516,,107,,
8,,银河期货,1387,,-43,,
9,,东证期货,1383,,349,,
10,,宏源期货,1354,,-185,,
11,,徽商期货,1320,,-72,,
12,,华安期货,1319,,157,,
13,,兴证期货,1281,,7,,
14,,山西三立,1278,,196,,
15,,中粮期货,1190,,398,,
16,,海通期货,1184,,356,,
17,,长江期货,1123,,28,,
18,,申银万国,1096,,-98,,
19,,方正中期,1092,,-86,,
20,,国泰君安,978,,10,,
总计,,,,34513,,2080,,

名次,,会员简称,持卖单量,增减,,
1,,华泰期货,2365,,-28,,
2,,中信期货,2257,,-46,,
3,,方正中期,2237,,-205,,
4,,永安期货,1982,,-213,,
5,,中国国际,1980,,1,,
6,,兴证期货,1875,,11,,
7,,徽商期货,1850,,93,,
8,,东航期货,1693,,-49,,
9,,长江期货,1646,,35,,
10,,中财期货,1553,,127,,
11,,中辉期货,1548,,24,,
12,,申银万国,1521,,113,,
13,,华安期货,1386,,65,,
14,,格林大华,1201,,-290,,
15,,宏源期货,1200,,-68,,
16,,中衍期货,1196,,208,,
17,,东证期货,1151,,19,,
18,,先锋期货,1147,,287,,
19,,华联期货,1132,,33,,
20,,浙商期货,1082,,18,,
总计,,,,32002,,135,,



会员类别,总成交量,增减,,
期货公司会员,44166,,-9551,,

会员类别,总持买单量,增减,,
期货公司会员,34513,,2080,,

会员类别,总持卖单量,增减,,
期货公司会员,32002,,135,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：m2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,121308,,-10812,,
2,,新湖期货,35035,,-10982,,
3,,海通期货,28877,,-6553,,
4,,光大期货,21692,,-8051,,
5,,华安期货,18424,,-1891,,
6,,国富期货,17903,,-5013,,
7,,国泰君安,17573,,-14197,,
8,,中信期货,15611,,742,,
9,,银河期货,13972,,1340,,
10,,中粮期货,13495,,1061,,
11,,广州金控,12953,,-1583,,
12,,浙商期货,12391,,-5193,,
13,,徽商期货,11848,,-9958,,
14,,国投安信,10332,,-12098,,
15,,华泰期货,10291,,-6195,,
16,,东海期货,10228,,1417,,
17,,中信建投,9604,,-1870,,
18,,方正中期,9593,,-144,,
19,,中国国际,8707,,1365,,
20,,永安期货,8331,,-17536,,
总计,,,,408168,,-106151,

名次,,会员简称,持买单量,增减,,
1,,永安期货,72716,,-228,,
2,,一德期货,64920,,-1643,,
3,,东证期货,62061,,4515,,
4,,中信期货,58247,,812,,
5,,华泰期货,49912,,-1217,,
6,,广发期货,43873,,-2238,,
7,,浙商期货,43697,,2608,,
8,,申银万国,40761,,-396,,
9,,方正中期,32690,,480,,
10,,银河期货,32329,,1823,,
11,,大越期货,31042,,240,,
12,,国投安信,27996,,-2322,,
13,,宏源期货,27957,,349,,
14,,国泰君安,22505,,-454,,
15,,大地期货,19935,,596,,
16,,五矿经易,19617,,-216,,
17,,中粮期货,19137,,-729,,
18,,瑞达期货,18577,,-733,,
19,,弘业期货,16561,,-193,,
20,,宝城期货,16375,,-161,,
总计,,,,720908,,893,,

名次,,会员简称,持卖单量,增减,,
1,,中粮期货,276687,,-822,,
2,,国投安信,168391,,-2658,,
3,,摩根大通,74134,,1353,,
4,,银河期货,69322,,4305,,
5,,五矿经易,61034,,83,,
6,,申银万国,45770,,6,,
7,,一德期货,39014,,-743,,
8,,永安期货,33555,,-743,,
9,,新湖期货,33238,,-83,,
10,,鲁证期货,29993,,-326,,
11,,信达期货,28218,,-12,,
12,,国泰君安,26317,,-2943,,
13,,中信期货,25207,,705,,
14,,北京首创,25192,,-106,,
15,,中国国际,22282,,1532,,
16,,安粮期货,21169,,-15,,
17,,南华期货,21027,,397,,
18,,倍特期货,19430,,333,,
19,,东证期货,18075,,637,,
20,,金瑞期货,12817,,-12,,
总计,,,,1050872,888,,



会员类别,总成交量,增减,,
期货公司会员,408168,,-106151,

会员类别,总持买单量,增减,,
期货公司会员,720908,,893,,

会员类别,总持卖单量,增减,,
期货公司会员,1050872,888,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：l2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,14642,,-5426,,
2,,光大期货,4435,,-3334,,
3,,永安期货,2870,,366,,
4,,银河期货,2544,,969,,
5,,中信期货,2088,,1108,,
6,,宏源期货,1988,,557,,
7,,弘业期货,1950,,733,,
8,,华泰期货,1522,,-1615,,
9,,兴证期货,1496,,-752,,
10,,海证期货,1282,,870,,
11,,中财期货,1257,,382,,
12,,方正中期,1206,,-1127,,
13,,浙商期货,1193,,-87,,
14,,国投安信,1051,,-348,,
15,,华信期货,1020,,54,,
16,,鲁证期货,926,,-1354,,
17,,安粮期货,877,,442,,
18,,中天期货,842,,-280,,
19,,广发期货,822,,116,,
20,,国海良时,739,,257,,
总计,,,,44750,,-8469,,

名次,,会员简称,持买单量,增减,,
1,,永安期货,12724,,1087,,
2,,东证期货,7999,,20,,
3,,中信期货,6937,,1022,,
4,,华泰期货,6449,,2,,
5,,中大期货,5588,,30,,
6,,方正中期,5060,,162,,
7,,徽商期货,4947,,170,,
8,,信达期货,4936,,-27,,
9,,大地期货,4579,,19,,
10,,银河期货,4049,,97,,
11,,中辉期货,3589,,-230,,
12,,广发期货,3567,,160,,
13,,宏源期货,3455,,-437,,
14,,国信期货,3207,,-104,,
15,,中财期货,3206,,82,,
16,,国投安信,2994,,99,,
17,,海通期货,2967,,58,,
18,,英大期货,2930,,14,,
19,,浙商期货,2823,,146,,
20,,弘业期货,2756,,163,,
总计,,,,94762,,2533,,

名次,,会员简称,持卖单量,增减,,
1,,永安期货,18952,,-339,,
2,,中信期货,11070,,430,,
3,,华泰期货,10464,,-18,,
4,,信达期货,7648,,7,,
5,,银河期货,7345,,1817,,
6,,建信期货,6918,,514,,
7,,国海良时,5741,,-287,,
8,,东证期货,5538,,-116,,
9,,中财期货,5168,,25,,
10,,弘业期货,4825,,115,,
11,,方正中期,4622,,-34,,
12,,国投安信,4420,,128,,
13,,国泰君安,3957,,-43,,
14,,金瑞期货,3883,,3,,
15,,新湖期货,3725,,-36,,
16,,宝城期货,3712,,15,,
17,,南华期货,3578,,-59,,
18,,一德期货,3416,,327,,
19,,海证期货,3178,,222,,
20,,光大期货,3090,,-53,,
总计,,,,121250,,2618,,



会员类别,总成交量,增减,,
期货公司会员,44750,,-8469,,

会员类别,总持买单量,增减,,
期货公司会员,94762,,2533,,

会员类别,总持卖单量,增减,,
期货公司会员,121250,,2618,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：y2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,182737,,-15974,,
2,,兴证期货,46162,,-18186,,
3,,光大期货,43932,,727,,
4,,中信期货,30263,,-3073,,
5,,申银万国,26370,,4950,,
6,,海通期货,24161,,-3589,,
7,,方正中期,23287,,-4648,,
8,,招商期货,19433,,4707,,
9,,国泰君安,17928,,7011,,
10,,国投安信,13939,,702,,
11,,中粮期货,11496,,-9075,,
12,,华泰期货,11479,,1040,,
13,,徽商期货,10582,,917,,
14,,华安期货,10535,,-1928,,
15,,永安期货,10480,,-4684,,
16,,国元期货,9758,,-4025,,
17,,国富期货,9498,,-3098,,
18,,中辉期货,9442,,324,,
19,,一德期货,9362,,-782,,
20,,广发期货,9211,,2262,,
总计,,,,530055,,-46422,,

名次,,会员简称,持买单量,增减,,
1,,银河期货,33093,,-425,,
2,,永安期货,24151,,-169,,
3,,中信期货,18930,,-3250,,
4,,中粮期货,18551,,-3104,,
5,,鲁证期货,17923,,-107,,
6,,东证期货,13086,,987,,
7,,一德期货,11213,,202,,
8,,北京首创,10812,,742,,
9,,光大期货,9026,,990,,
