商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,182357,6637,期货公司  ,期货公司  ,260868,3665,期货公司  ,期货公司  ,267278,3860,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,1501,-145,非期货公司,非期货公司,10469,173,非期货公司,非期货公司,4059,-22,
RANK1合约代码:cu1912                        ,,,,,,,,,,
1,0253      ,华泰期货  ,11147,1165,0049      ,金瑞期货  ,9642,-157,0148      ,中信期货  ,9911,-61,
2,0163      ,东证期货  ,4464,-352,0148      ,中信期货  ,3687,41,0009      ,五矿经易  ,8119,-206,
3,0009      ,五矿经易  ,3561,-1290,0003      ,建信期货  ,3637,95,0049      ,金瑞期货  ,4998,-807,
4,0049      ,金瑞期货  ,2688,570,0034      ,方正中期  ,2882,-152,0082      ,国投安信  ,4367,-413,
5,0148      ,中信期货  ,2640,105,0103      ,永安期货  ,2872,-394,0004      ,国泰君安  ,4269,259,
6,0299      ,华安期货  ,2491,653,0031      ,中航期货  ,2630,-4,0058      ,国贸期货  ,4104,15,
7,0082      ,国投安信  ,2098,-892,0009      ,五矿经易  ,2464,285,0272      ,银河期货  ,3291,156,
8,0004      ,国泰君安  ,2083,-29,0315      ,云晨期货  ,2457,-226,0139      ,中粮期货  ,2634,0,
9,0034      ,方正中期  ,1944,852,0096      ,南华期货  ,2387,35,0121      ,格林大华  ,2560,425,
10,0081      ,海通期货  ,1925,-52,0058      ,国贸期货  ,2385,87,0025      ,铜冠金源  ,2543,73,
11,0025      ,铜冠金源  ,1464,-57,0004      ,国泰君安  ,2263,-162,0299      ,华安期货  ,2459,342,
12,0277      ,一德期货  ,1432,-118,0253      ,华泰期货  ,2061,-390,0277      ,一德期货  ,2206,-252,
13,0272      ,银河期货  ,1204,-639,0025      ,铜冠金源  ,2002,-91,0253      ,华泰期货  ,2092,-471,
14,0077      ,新湖期货  ,1078,103,0069      ,申万期货  ,1899,2,0240      ,广发期货  ,2024,119,
15,0058      ,国贸期货  ,904,-649,0277      ,一德期货  ,1716,46,0372      ,中银国际  ,2005,-110,
16,0096      ,南华期货  ,899,-311,0139      ,中粮期货  ,1700,21,0003      ,建信期货  ,1791,-106,
17,0372      ,中银国际  ,730,350,0136      ,信达期货  ,1534,47,0047      ,迈科期货  ,1629,-1,
18,0003      ,建信期货  ,725,68,0169      ,兴业期货  ,1513,110,0081      ,海通期货  ,1603,127,
19,0320      ,大有期货  ,678,276,0299      ,华安期货  ,1377,303,0161      ,招商期货  ,1331,-4,
20,0308      ,国信期货  ,660,-84,0051      ,华金期货  ,1355,-64,0169      ,兴业期货  ,1275,-189,
合计:cu1912                        ,,,44815,-331,,,52463,-568,,,65211,-1104,
RANK1合约代码:cu2001                        ,,,,,,,,,,
1,0253      ,华泰期货  ,16451,2925,0049      ,金瑞期货  ,10839,442,0148      ,中信期货  ,11562,449,
2,0163      ,东证期货  ,9567,728,0004      ,国泰君安  ,9821,80,0003      ,建信期货  ,6796,-125,
3,0148      ,中信期货  ,4489,-545,0103      ,永安期货  ,5915,88,0009      ,五矿经易  ,6690,25,
4,0009      ,五矿经易  ,3791,57,0315      ,云晨期货  ,4862,9,0004      ,国泰君安  ,6020,-81,
5,0311      ,兴证期货  ,3284,-734,0148      ,中信期货  ,4574,-128,0082      ,国投安信  ,5314,-16,
6,0299      ,华安期货  ,3003,1774,0025      ,铜冠金源  ,3356,274,0049      ,金瑞期货  ,4129,-209,
7,0082      ,国投安信  ,2741,-158,0253      ,华泰期货  ,2798,436,0299      ,华安期货  ,3880,-358,
8,0308      ,国信期货  ,2515,751,0058      ,国贸期货  ,2498,12,0240      ,广发期货  ,3855,37,
9,0081      ,海通期货  ,2485,-676,0096      ,南华期货  ,2428,23,0272      ,银河期货  ,3536,41,
10,0385      ,国富期货  ,2334,15,0031      ,中航期货  ,2356,40,0058      ,国贸期货  ,2919,-117,
11,0096      ,南华期货  ,2301,358,0272      ,银河期货  ,2084,113,0311      ,兴证期货  ,2884,29,
12,0025      ,铜冠金源  ,1931,84,0137      ,宏源期货  ,2066,80,0016      ,上海大陆  ,2525,168,
13,0004      ,国泰君安  ,1889,-419,0081      ,海通期货  ,1819,-65,0025      ,铜冠金源  ,2364,-131,
14,0272      ,银河期货  ,1736,-648,0034      ,方正中期  ,1782,-26,0372      ,中银国际  ,2311,30,
15,0049      ,金瑞期货  ,1535,242,0178      ,弘业期货  ,1766,155,0268      ,中信建投  ,2146,415,
16,0261      ,长城期货  ,1399,1330,0169      ,兴业期货  ,1663,52,0253      ,华泰期货  ,2135,83,
17,0116      ,首创期货  ,1309,1127,0082      ,国投安信  ,1636,53,0169      ,兴业期货  ,2103,-174,
18,0034      ,方正中期  ,1292,178,0042      ,光大期货  ,1516,81,0081      ,海通期货  ,2010,154,
19,0103      ,永安期货  ,1143,275,0136      ,信达期货  ,1501,96,0103      ,永安期货  ,1983,-83,
20,0161      ,招商期货  ,1049,-141,0077      ,新湖期货  ,1492,27,0139      ,中粮期货  ,1859,41,
合计:cu2001                        ,,,66244,6523,,,66772,1842,,,77021,178,
RANK1合约代码:cu2002                        ,,,,,,,,,,
1,0163      ,东证期货  ,3234,396,0315      ,云晨期货  ,5550,2,0148      ,中信期货  ,4908,516,
2,0253      ,华泰期货  ,3199,977,0049      ,金瑞期货  ,3784,122,0049      ,金瑞期货  ,3767,42,
